assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
0,2,37128,1,Taye Taiwo (79),Mark Hughes,QPR,5,5,24,23,2,5,12,19,Saturday 24 March 2012,9,11,8,8,0,0,3,"Nicklas Bendtner (41),James McClean (70),Stéphane Sessegnon (76)",Martin O'Neill,Sunderland,2,2,0,0,1,0,Michael Jones,3-1,1,0,2011-2012,5,8,1,4,18,24,6,12,Stadium of Light,3,2
1,0,20509,2,"Leighton Baines (59),Nikica Jelavic (76)",David Moyes,Everton,3,3,18,27,3,3,20,14,Saturday 24 March 2012,12,10,9,11,1,0,0,,Brendan Rodgers,Swansea,1,1,0,0,0,0,Neil Swarbrick,0-2,1,3,2011-2012,7,7,5,1,19,27,12,8,Liberty Stadium,2,1
0,0,41830,0,,Harry Redknapp,Spurs,4,5,38,21,4,6,11,24,Saturday 24 March 2012,13,11,8,12,3,1,0,,Roberto Di Matteo,Chelsea,0,2,0,0,0,0,Martin Atkinson,0-0,2,3,2011-2012,11,3,4,2,22,16,15,5,Stamford Bridge,2,1
1,0,30330,1,Thomas Vermaelen (8),Arsène Wenger,Arsenal,2,5,22,30,6,4,14,19,Wednesday 21 March 2012,13,11,11,13,1,0,0,,David Moyes,Everton,3,10,0,0,0,0,Lee Mason,0-1,1,3,2011-2012,5,4,4,1,24,25,9,5,Goodison Park,1,2
0,3,18033,2,"Sebastián Coates (54),Dirk Kuyt (72)",Kenny Dalglish,Liverpool,2,5,23,55,17,7,23,22,Wednesday 21 March 2012,7,8,7,6,1,0,3,"Shaun Derry (77),Djibril Cissé (86),Jamie Mackie (90+1)",Mark Hughes,QPR,4,1,0,0,0,0,Howard Webb,3-2,2,5,2011-2012,7,4,7,5,22,16,14,9,Loftus Road Stadium,0,0
0,1,46324,1,Gary Cahill (60),Roberto Di Matteo,Chelsea,6,3,46,20,4,11,15,27,Wednesday 21 March 2012,9,10,10,7,2,2,2,"Sergio Agüero (78 Pen),Samir Nasri (85)",Roberto Mancini,Man City,0,0,0,1,0,0,Mike Dean,2-1,3,1,2011-2012,2,9,2,5,14,25,4,14,Etihad Stadium,2,1
1,1,35172,1,Cameron Jerome (75),Tony Pulis,Stoke,12,1,69,30,1,13,10,18,Wednesday 21 March 2012,11,11,11,9,1,1,1,Rafael van der Vaart (90+3),Harry Redknapp,Spurs,4,1,0,0,0,0,Michael Jones,1-1,5,1,2011-2012,6,7,2,7,19,28,8,14,White Hart Lane,1,1
0,1,20056,0,,Martin O'Neill,Sunderland,3,0,34,29,9,7,27,9,Tuesday 20 March 2012,11,12,12,9,2,0,2,"Junior Hoilett (58),Yakubu (86)",Steve Kean,Blackburn,4,0,0,0,0,0,Martin Atkinson,2-0,3,1,2011-2012,2,7,1,6,12,28,3,13,Ewood Park,1,0
0,1,47833,0,,Paul Lambert,Norwich,2,2,38,16,5,4,17,12,Sunday 18 March 2012,15,8,7,15,0,0,1,Papiss Demba Cissé (11),Alan Pardew,Newcastle,0,0,0,0,0,0,Phil Dowd,1-0,5,4,2011-2012,5,6,4,6,28,18,9,12,St. James' Park,3,0
5,0,27494,5,"Jonny Evans (21),Antonio Valencia (43),Danny Welbeck (45+1),Javier Hernández (56, 61)",Alex Ferguson,Man Utd,0,9,23,15,7,4,17,19,Sunday 18 March 2012,13,6,6,12,2,0,0,,Terry Connor,Wolves,2,1,0,0,0,1,Anthony Taylor,0-5,3,4,2011-2012,4,4,9,3,28,9,13,7,Molineux Stadium,1,0
3,0,25690,3,"Gylfi Sigurdsson (36, 66),Joe Allen (77)",Brendan Rodgers,Swansea,4,1,24,11,2,6,13,7,Saturday 17 March 2012,7,8,8,7,0,0,0,,Martin Jol,Fulham,2,2,0,0,0,0,Mark Halsey,0-3,5,2,2011-2012,3,7,5,5,13,23,8,12,Craven Cottage,0,0
1,0,21379,1,Paul Scharner (65),Roy Hodgson,West Brom,2,3,40,14,5,13,15,38,Saturday 17 March 2012,12,8,7,12,2,0,1,James McArthur (54),Roberto Martinez,Wigan,5,2,0,0,0,0,Michael Oliver,1-1,6,0,2011-2012,6,14,1,5,17,29,7,19,DW Stadium,4,2
0,2,44921,0,,David Moyes,Everton,2,3,32,31,4,4,14,19,Tuesday 13 March 2012,9,6,6,9,2,0,3,"Steven Gerrard (34, 51, 90+3)",Kenny Dalglish,Liverpool,2,5,0,0,0,0,Phil Dowd,3-0,6,1,2011-2012,4,5,1,9,22,34,5,14,Anfield,4,1
1,1,60095,1,Hatem Ben Arfa (14),Alan Pardew,Newcastle,7,2,32,12,3,6,10,25,Monday 12 March 2012,12,11,10,11,0,0,2,"Robin van Persie (15),Thomas Vermaelen (90+5)",Arsène Wenger,Arsenal,2,8,0,0,0,0,Howard Webb,2-1,5,1,2011-2012,0,8,2,8,17,16,2,16,Emirates Stadium,3,2
1,1,26653,1,Victor Moses (68),Roberto Martinez,Wigan,5,2,28,36,5,3,22,20,Sunday 11 March 2012,8,12,12,6,1,0,1,Wes Hoolahan (10),Paul Lambert,Norwich,1,2,0,0,0,0,Kevin Friend,1-1,1,6,2011-2012,11,7,7,2,21,25,18,9,Carrow Road,4,4
0,1,75598,0,,Roy Hodgson,West Brom,4,1,27,23,5,8,5,21,Sunday 11 March 2012,14,5,5,13,1,0,2,"Wayne Rooney (35, 71 Pen)",Alex Ferguson,Man Utd,1,5,0,1,1,0,Lee Probert,2-0,6,3,2011-2012,3,10,3,8,26,10,6,18,Old Trafford,0,0
0,1,20510,0,,Roberto Mancini,Man City,1,8,22,21,9,7,17,19,Sunday 11 March 2012,15,9,9,14,1,0,1,Luke Moore (83),Brendan Rodgers,Swansea,1,2,0,1,0,0,Lee Mason,1-0,4,6,2011-2012,7,5,6,5,19,27,13,10,Liberty Stadium,2,0
0,1,34992,0,,Harry Redknapp,Spurs,3,7,17,26,8,0,20,9,Saturday 10 March 2012,11,14,11,10,0,1,1,Nikica Jelavic (22),David Moyes,Everton,2,3,0,0,0,0,Mark Halsey,1-0,4,5,2011-2012,12,1,5,5,26,29,17,6,Goodison Park,2,2
0,0,32372,0,,Martin Jol,Fulham,2,2,41,24,4,10,8,35,Saturday 10 March 2012,11,9,9,11,0,0,1,Andreas Weimann (90+3),Alex McLeish,Aston Villa,3,2,0,0,0,0,Jonathan Moss,1-0,5,1,2011-2012,4,8,1,6,15,17,5,14,Villa Park,0,2
0,1,40945,0,,Tony Pulis,Stoke,5,3,52,33,1,14,6,22,Saturday 10 March 2012,15,12,12,12,0,0,1,Didier Drogba (68),Roberto Di Matteo,Chelsea,0,2,0,0,1,0,Andre Marriner,1-0,7,0,2011-2012,5,10,0,8,17,29,5,18,Stamford Bridge,2,1
0,0,41661,0,,Kenny Dalglish,Liverpool,0,2,28,39,2,3,20,14,Saturday 10 March 2012,16,13,13,16,1,0,1,Nicklas Bendtner (56),Martin O'Neill,Sunderland,0,1,0,0,0,0,Anthony Taylor,1-0,2,3,2011-2012,5,5,3,2,32,18,8,7,Stadium of Light,1,1
